pretest_score,posttest_score,datetime,category
2580342,6717496,2004-01-01 00:00:00,7
8871317,3196997,2004-01-01 01:00:00,6
1230181,3711450,2004-01-01 02:00:00,5
6980466,5888371,2004-01-01 03:00:00,7
3496428,7804230,2004-01-01 04:00:00,7
2694158,7812275,2004-01-01 05:00:00,8
6155010,1663706,2004-01-01 06:00:00,9
3833682,1396842,2004-01-01 07:00:00,7
6290455,1724969,2004-01-01 08:00:00,5
4410012,5413391,2004-01-01 09:00:00,6
3066044,3539414,2004-01-01 10:00:00,6
6358016,7779485,2004-01-01 11:00:00,5
1264340,8928754,2004-01-01 12:00:00,5
6423732,3429204,2004-01-01 13:00:00,5
4294479,7234194,2004-01-01 14:00:00,8
9909750,4463490,2004-01-01 15:00:00,8
8509976,3375673,2004-01-01 16:00:00,8
698748,2358377,2004-01-01 17:00:00,7
8619843,5838155,2004-01-01 18:00:00,8
1369399,7381633,2004-01-01 19:00:00,6
7038591,730559,2004-01-01 20:00:00,5
590794,8439425,2004-01-01 21:00:00,9
2669151,8615180,2004-01-01 22:00:00,9
8768180,4535691,2004-01-01 23:00:00,7
3657850,6197667,2004-01-02 00:00:00,9
2692223,1656113,2004-01-02 01:00:00,5
9603607,967457,2004-01-02 02:00:00,7
6154994,5226578,2004-01-02 03:00:00,6
5007483,2515845,2004-01-02 04:00:00,8
5304697,980924,2004-01-02 05:00:00,6
5231819,2940290,2004-01-02 06:00:00,6
4109412,3761195,2004-01-02 07:00:00,5
9854245,7093967,2004-01-02 08:00:00,6
9690919,5263155,2004-01-02 09:00:00,9
8571759,9797461,2004-01-02 10:00:00,6
3000859,3650882,2004-01-02 11:00:00,5
9754761,7533813,2004-01-02 12:00:00,6
1886970,4961348,2004-01-02 13:00:00,5
4397503,3027048,2004-01-02 14:00:00,7
9684594,855886,2004-01-02 15:00:00,7
6749451,1719371,2004-01-02 16:00:00,9
5239369,6092469,2004-01-02 17:00:00,8
8394842,2837113,2004-01-02 18:00:00,9
1088490,7568444,2004-01-02 19:00:00,9
3627941,5548837,2004-01-02 20:00:00,7
5917342,4029999,2004-01-02 21:00:00,9
2003980,8079091,2004-01-02 22:00:00,7
6334944,5713421,2004-01-02 23:00:00,5
7581523,2711321,2004-01-03 00:00:00,5
6452301,5190711,2004-01-03 01:00:00,6
1549380,8194804,2004-01-03 02:00:00,6
6081848,8301008,2004-01-03 03:00:00,5
4772465,8043623,2004-01-03 04:00:00,8
6154062,3444394,2004-01-03 05:00:00,9
928783,4607050,2004-01-03 06:00:00,7
2103281,8810777,2004-01-03 07:00:00,7
1482068,8455538,2004-01-03 08:00:00,7
2314393,4162218,2004-01-03 09:00:00,5
5530530,8422054,2004-01-03 10:00:00,8
6146317,5307407,2004-01-03 11:00:00,6
8513038,9705630,2004-01-03 12:00:00,9
1052090,7673238,2004-01-03 13:00:00,6
9388351,6214786,2004-01-03 14:00:00,7
7817859,6265896,2004-01-03 15:00:00,6
2174148,4055995,2004-01-03 16:00:00,6
800789,5423510,2004-01-03 17:00:00,5
7149093,1461373,2004-01-03 18:00:00,9
5698147,8402045,2004-01-03 19:00:00,9
870675,5793557,2004-01-03 20:00:00,5
2371078,6795758,2004-01-03 21:00:00,8
9601739,8052368,2004-01-03 22:00:00,9
1085766,9967636,2004-01-03 23:00:00,8
650265,609615,2004-01-04 00:00:00,5
5659412,4883300,2004-01-04 01:00:00,9
4973597,3393290,2004-01-04 02:00:00,9
6875160,2961769,2004-01-04 03:00:00,8
9027056,7212649,2004-01-04 04:00:00,9
3866263,1054172,2004-01-04 05:00:00,7
9772237,8480613,2004-01-04 06:00:00,9
3483389,2316873,2004-01-04 07:00:00,9
2699146,4995820,2004-01-04 08:00:00,6
4064837,8277353,2004-01-04 09:00:00,7
7391295,6410038,2004-01-04 10:00:00,7
6124656,1652659,2004-01-04 11:00:00,7
4875141,2807514,2004-01-04 12:00:00,8
8151157,6914368,2004-01-04 13:00:00,8
6215846,4078296,2004-01-04 14:00:00,5
