pretest_score,posttest_score,datetime,category
3833836,829046,2015-01-01,1
2573597,6565700,2015-01-02,1
4720175,4227440,2015-01-03,1
366176,3244938,2015-01-04,2
9936959,2459888,2015-01-05,2
3611109,7133543,2015-01-06,2
3052550,2573789,2015-01-07,2
5594668,8476599,2015-01-08,1
4657311,4580437,2015-01-09,2
9638654,2816534,2015-01-10,2
2709704,5980752,2015-01-11,2
4549774,7223661,2015-01-12,1
103932,6602227,2015-01-13,2
5144298,9526273,2015-01-14,1
5318671,4523293,2015-01-15,2
943256,3013070,2015-01-16,2
5845674,3782133,2015-01-17,1
1042786,3029879,2015-01-18,1
9260418,6200246,2015-01-19,1
760221,2569555,2015-01-20,2
9154190,419900,2015-01-21,2
2887157,8362545,2015-01-22,1
8789383,49886,2015-01-23,1
4331497,5329095,2015-01-24,1
5549581,6166156,2015-01-25,1
9563768,88983,2015-01-26,2
5790073,8888108,2015-01-27,2
738328,3414274,2015-01-28,1
5029783,610563,2015-01-29,2
328770,6570838,2015-01-30,1
3270768,6992316,2015-01-31,2
4327588,6395794,2015-02-01,1
2262986,6392123,2015-02-02,2
3687012,1022080,2015-02-03,1
5074444,2736733,2015-02-04,1
7839371,2680627,2015-02-05,1
2259836,1232557,2015-02-06,2
5068791,9610936,2015-02-07,1
6601123,1433772,2015-02-08,1
9624018,9434986,2015-02-09,2
9810742,7437382,2015-02-10,1
1113202,1271470,2015-02-11,2
2005195,8816453,2015-02-12,2
1872812,8796588,2015-02-13,1
7594071,9687054,2015-02-14,2
5798172,9465336,2015-02-15,1
5202531,2536798,2015-02-16,2
642704,8667228,2015-02-17,1
3294985,3054077,2015-02-18,1
3567112,7764035,2015-02-19,1
8564919,9320993,2015-02-20,1
8636378,642792,2015-02-21,2
2053353,6154246,2015-02-22,2
3427555,8243861,2015-02-23,2
5585078,346319,2015-02-24,2
8514811,8054103,2015-02-25,1
5822081,6012040,2015-02-26,1
7263130,135721,2015-02-27,2
9837867,7446187,2015-02-28,2
9461401,8413004,2015-03-01,2
1210115,4374067,2015-03-02,2
2450099,2016264,2015-03-03,2
5168603,4400792,2015-03-04,1
1670109,6037970,2015-03-05,2
6242119,2271941,2015-03-06,1
6084861,686421,2015-03-07,1
5699405,6536036,2015-03-08,2
3444457,2467004,2015-03-09,1
6776907,4937464,2015-03-10,2
2404919,5392304,2015-03-11,1
5695800,3236130,2015-03-12,2
7023197,5504388,2015-03-13,1
8664708,3473387,2015-03-14,2
457687,390587,2015-03-15,2
4498916,5480102,2015-03-16,1
6697291,2208533,2015-03-17,2
479259,426577,2015-03-18,2
1101259,1044022,2015-03-19,2
3603883,2624285,2015-03-20,2
9435617,7033248,2015-03-21,1
9899384,9000544,2015-03-22,2
895673,9993555,2015-03-23,2
6057589,2002000,2015-03-24,2
9465319,7225838,2015-03-25,2
4504487,202380,2015-03-26,2
9767433,5563639,2015-03-27,1
5800624,9495271,2015-03-28,1
1564591,3606393,2015-03-29,2
7314708,9221899,2015-03-30,1
8747514,9122954,2015-03-31,1
1106154,1313059,2015-04-01,2
1065847,3254217,2015-04-02,2
4142309,458395,2015-04-03,1
4736332,528539,2015-04-04,2
8747106,6336274,2015-04-05,1
1574802,5987370,2015-04-06,1
2872814,4796504,2015-04-07,1
1450939,3837296,2015-04-08,1
4212012,2011812,2015-04-09,1
6603098,6714006,2015-04-10,1
2369702,5173810,2015-04-11,1
7694197,5372450,2015-04-12,2
4525068,503425,2015-04-13,2
8614617,7858715,2015-04-14,1
4840938,955781,2015-04-15,2
7177024,3896276,2015-04-16,2
4822175,7243646,2015-04-17,1
7947519,9236878,2015-04-18,1
9251306,6177043,2015-04-19,1
6598989,2023699,2015-04-20,1
1628965,5972080,2015-04-21,1
2185914,4611418,2015-04-22,1
5474923,1643139,2015-04-23,2
3542482,5907223,2015-04-24,1
1878120,6680179,2015-04-25,1
3952743,5780424,2015-04-26,2
4662997,6782928,2015-04-27,2
6112096,4149967,2015-04-28,2
1786805,157015,2015-04-29,1
39985,4202605,2015-04-30,2
4319046,2115970,2015-05-01,1
3841173,9120425,2015-05-02,1
2483609,3523777,2015-05-03,1
3680309,8608789,2015-05-04,1
7123185,5485173,2015-05-05,2
742690,6281857,2015-05-06,2
2643626,2749597,2015-05-07,2
1282859,9699864,2015-05-08,2
4914828,7004921,2015-05-09,1
9644321,2776,2015-05-10,2
5932333,9124612,2015-05-11,2
3772020,4262057,2015-05-12,2
4634954,3071658,2015-05-13,2
2989061,5960583,2015-05-14,2
6170304,4892585,2015-05-15,1
2687953,1570655,2015-05-16,1
2192010,5366558,2015-05-17,1
7647207,1115683,2015-05-18,2
700834,1851638,2015-05-19,1
3677554,1207710,2015-05-20,2
3578336,6745144,2015-05-21,1
7842280,3606429,2015-05-22,2
7811049,9047681,2015-05-23,1
8572353,9271147,2015-05-24,1
6422800,4191366,2015-05-25,2
6282839,7354442,2015-05-26,2
6408135,5120227,2015-05-27,1
7668852,2721207,2015-05-28,2
4947398,6163909,2015-05-29,1
9949827,509843,2015-05-30,2
7056263,4349186,2015-05-31,2
7471124,2460838,2015-06-01,1
3142745,1077285,2015-06-02,1
7711953,828216,2015-06-03,1
8467505,340860,2015-06-04,1
