pretest_score,posttest_score,datetime,category
3342597,4557916,2015-01-01 00:00:00,2
6707640,3072118,2015-01-01 01:00:00,2
8927391,2028123,2015-01-01 02:00:00,2
48513,668509,2015-01-01 03:00:00,2
8932580,8018737,2015-01-01 04:00:00,1
6589017,5116624,2015-01-01 05:00:00,1
5140158,2377862,2015-01-01 06:00:00,2
7409220,3278802,2015-01-01 07:00:00,1
4742072,1964180,2015-01-01 08:00:00,2
5517907,6216333,2015-01-01 09:00:00,2
7150902,1907990,2015-01-01 10:00:00,2
1639691,1433536,2015-01-01 11:00:00,1
7475185,3414742,2015-01-01 12:00:00,1
3340119,3333849,2015-01-01 13:00:00,2
1571600,5198438,2015-01-01 14:00:00,2
9563313,8984022,2015-01-01 15:00:00,1
6427563,7391010,2015-01-01 16:00:00,1
6839690,4754328,2015-01-01 17:00:00,2
652693,5798381,2015-01-01 18:00:00,1
5835961,5474717,2015-01-01 19:00:00,1
8378910,5954686,2015-01-01 20:00:00,1
5135012,2667065,2015-01-01 21:00:00,2
9758838,2815987,2015-01-01 22:00:00,1
173279,2332601,2015-01-01 23:00:00,1
2926186,5423661,2015-01-02 00:00:00,2
2760447,6782953,2015-01-02 01:00:00,1
4334171,574580,2015-01-02 02:00:00,2
6752803,228110,2015-01-02 03:00:00,2
1758307,6071846,2015-01-02 04:00:00,2
612782,5171387,2015-01-02 05:00:00,2
9642722,4468444,2015-01-02 06:00:00,2
2714676,3767564,2015-01-02 07:00:00,2
4585968,6074306,2015-01-02 08:00:00,1
1210733,5598784,2015-01-02 09:00:00,2
2744323,1265702,2015-01-02 10:00:00,2
9300114,2337111,2015-01-02 11:00:00,1
4604881,920916,2015-01-02 12:00:00,1
6617063,2455114,2015-01-02 13:00:00,1
8749277,5850280,2015-01-02 14:00:00,2
3011479,1438553,2015-01-02 15:00:00,1
2864631,648380,2015-01-02 16:00:00,1
9807713,6973558,2015-01-02 17:00:00,1
2194851,5135885,2015-01-02 18:00:00,1
312975,9694410,2015-01-02 19:00:00,1
9399483,4909982,2015-01-02 20:00:00,2
4055823,1280711,2015-01-02 21:00:00,1
723142,7378643,2015-01-02 22:00:00,2
8241998,5397303,2015-01-02 23:00:00,2
8311791,7892327,2015-01-03 00:00:00,1
6964138,9639524,2015-01-03 01:00:00,1
9330143,3970759,2015-01-03 02:00:00,1
23972,602972,2015-01-03 03:00:00,2
1586165,326125,2015-01-03 04:00:00,1
5822961,3776564,2015-01-03 05:00:00,1
9792825,4621974,2015-01-03 06:00:00,2
395028,9415717,2015-01-03 07:00:00,2
1248954,1741155,2015-01-03 08:00:00,1
5003096,9790912,2015-01-03 09:00:00,2
6026777,728177,2015-01-03 10:00:00,1
8757488,9146741,2015-01-03 11:00:00,2
9634055,3365193,2015-01-03 12:00:00,2
5801550,9211490,2015-01-03 13:00:00,2
3604432,6669052,2015-01-03 14:00:00,1
8612042,5761978,2015-01-03 15:00:00,1
1491864,9301715,2015-01-03 16:00:00,1
4789605,8324772,2015-01-03 17:00:00,2
2714914,7244392,2015-01-03 18:00:00,1
1893402,6793692,2015-01-03 19:00:00,1
6509107,4326167,2015-01-03 20:00:00,2
5097251,4882475,2015-01-03 21:00:00,2
7024975,3859516,2015-01-03 22:00:00,2
8593719,2700084,2015-01-03 23:00:00,2
8618064,2837420,2015-01-04 00:00:00,2
2385379,4593610,2015-01-04 01:00:00,2
461046,176585,2015-01-04 02:00:00,2
4976761,6586007,2015-01-04 03:00:00,1
9662512,7395618,2015-01-04 04:00:00,2
2220900,2735537,2015-01-04 05:00:00,2
7214878,6830861,2015-01-04 06:00:00,2
3995007,9613229,2015-01-04 07:00:00,2
6927274,1421906,2015-01-04 08:00:00,2
1839996,4450900,2015-01-04 09:00:00,2
3672386,3993197,2015-01-04 10:00:00,2
2750300,7728795,2015-01-04 11:00:00,1
6596967,851495,2015-01-04 12:00:00,1
6396650,5316983,2015-01-04 13:00:00,1
9918823,2264930,2015-01-04 14:00:00,1
6751837,2876011,2015-01-04 15:00:00,1
6532836,2297082,2015-01-04 16:00:00,1
7729653,6582495,2015-01-04 17:00:00,1
5052534,2040830,2015-01-04 18:00:00,1
9946757,511581,2015-01-04 19:00:00,1
7065307,4761680,2015-01-04 20:00:00,2
7350106,6111674,2015-01-04 21:00:00,2
8394343,9566417,2015-01-04 22:00:00,1
4164503,121761,2015-01-04 23:00:00,2
1844137,7539409,2015-01-05 00:00:00,2
9842165,356031,2015-01-05 01:00:00,1
6584847,406124,2015-01-05 02:00:00,2
6606063,6112283,2015-01-05 03:00:00,2
2246030,4500178,2015-01-05 04:00:00,1
320305,7965297,2015-01-05 05:00:00,1
9293263,8185398,2015-01-05 06:00:00,2
3267211,9580028,2015-01-05 07:00:00,2
4538772,8267723,2015-01-05 08:00:00,1
6949944,7085516,2015-01-05 09:00:00,1
7242573,6165896,2015-01-05 10:00:00,2
219204,6099035,2015-01-05 11:00:00,2
7119140,2795321,2015-01-05 12:00:00,1
5945190,9805816,2015-01-05 13:00:00,1
7184667,2809354,2015-01-05 14:00:00,2
389327,6703349,2015-01-05 15:00:00,2
2555645,1921921,2015-01-05 16:00:00,1
9485424,4198244,2015-01-05 17:00:00,1
5918125,3411684,2015-01-05 18:00:00,1
4923842,3269473,2015-01-05 19:00:00,2
9557977,7537177,2015-01-05 20:00:00,2
1500926,3608474,2015-01-05 21:00:00,2
2287746,1660756,2015-01-05 22:00:00,1
2578473,8948239,2015-01-05 23:00:00,2
9411214,8298351,2015-01-06 00:00:00,2
8641715,2476105,2015-01-06 01:00:00,2
3408427,7566394,2015-01-06 02:00:00,2
2597113,6001348,2015-01-06 03:00:00,1
757452,3743692,2015-01-06 04:00:00,1
2426592,2938036,2015-01-06 05:00:00,1
7600395,7462779,2015-01-06 06:00:00,1
5367220,5092045,2015-01-06 07:00:00,1
4666831,3757380,2015-01-06 08:00:00,1
6146234,8460601,2015-01-06 09:00:00,2
8324934,6691833,2015-01-06 10:00:00,2
1858836,6919342,2015-01-06 11:00:00,1
7815374,4758873,2015-01-06 12:00:00,2
723512,9313225,2015-01-06 13:00:00,2
505874,4588986,2015-01-06 14:00:00,2
7352447,3324484,2015-01-06 15:00:00,1
3426786,7608791,2015-01-06 16:00:00,2
3260897,9330684,2015-01-06 17:00:00,1
2656265,4889666,2015-01-06 18:00:00,1
2536849,4253681,2015-01-06 19:00:00,1
9116957,6644042,2015-01-06 20:00:00,2
4429566,7617962,2015-01-06 21:00:00,1
6446149,191894,2015-01-06 22:00:00,1
2104132,5005817,2015-01-06 23:00:00,2
3206794,2099132,2015-01-07 00:00:00,2
7278546,1118864,2015-01-07 01:00:00,1
2290685,4605209,2015-01-07 02:00:00,1
5607478,1679968,2015-01-07 03:00:00,2
4563216,9391478,2015-01-07 04:00:00,1
9404038,9110289,2015-01-07 05:00:00,1
8574146,2370415,2015-01-07 06:00:00,2
6470379,842880,2015-01-07 07:00:00,1
5585944,6060721,2015-01-07 08:00:00,1
2179109,1000301,2015-01-07 09:00:00,2
7935659,7736876,2015-01-07 10:00:00,1
1395467,3899581,2015-01-07 11:00:00,1
5268299,293017,2015-01-07 12:00:00,2
6100782,4785397,2015-01-07 13:00:00,2
7362288,2121670,2015-01-07 14:00:00,2
2691037,957604,2015-01-07 15:00:00,2
9808297,4347739,2015-01-07 16:00:00,1
6905909,4930850,2015-01-07 17:00:00,2
1223038,2488147,2015-01-07 18:00:00,2
3395027,328387,2015-01-07 19:00:00,1
752964,8804144,2015-01-07 20:00:00,2
1250782,8383226,2015-01-07 21:00:00,1
6795546,1659729,2015-01-07 22:00:00,2
4728378,7653950,2015-01-07 23:00:00,2
8351031,8822120,2015-01-08 00:00:00,2
8889095,7580419,2015-01-08 01:00:00,1
9924450,4193711,2015-01-08 02:00:00,1
2629349,5957844,2015-01-08 03:00:00,1
5752472,263482,2015-01-08 04:00:00,2
2819217,375827,2015-01-08 05:00:00,1
952953,5040817,2015-01-08 06:00:00,2
5196456,365225,2015-01-08 07:00:00,1
2081772,5951534,2015-01-08 08:00:00,2
4384614,6226948,2015-01-08 09:00:00,2
3987097,8515668,2015-01-08 10:00:00,1
4885581,2759457,2015-01-08 11:00:00,2
8860151,3543176,2015-01-08 12:00:00,2
3286655,9176316,2015-01-08 13:00:00,2
9650931,1014839,2015-01-08 14:00:00,1
4984310,9658424,2015-01-08 15:00:00,2
2702325,203796,2015-01-08 16:00:00,2
7338206,8707510,2015-01-08 17:00:00,1
7235202,3583404,2015-01-08 18:00:00,1
3999217,3988996,2015-01-08 19:00:00,1
9606212,4440790,2015-01-08 20:00:00,2
248672,4875199,2015-01-08 21:00:00,1
6630647,4540858,2015-01-08 22:00:00,2
3010742,4619023,2015-01-08 23:00:00,1
8442171,3646042,2015-01-09 00:00:00,2
5754118,6525423,2015-01-09 01:00:00,1
4757886,5148472,2015-01-09 02:00:00,2
888117,9891255,2015-01-09 03:00:00,1
5435686,3303375,2015-01-09 04:00:00,2
7514253,4291017,2015-01-09 05:00:00,1
4450707,7554888,2015-01-09 06:00:00,2
6472349,8148194,2015-01-09 07:00:00,2
5428116,1172038,2015-01-09 08:00:00,2
1951605,4249774,2015-01-09 09:00:00,2
6029520,8494995,2015-01-09 10:00:00,1
7756030,5939372,2015-01-09 11:00:00,1
8919527,5996796,2015-01-09 12:00:00,1
5542107,9449645,2015-01-09 13:00:00,2
6851187,3488249,2015-01-09 14:00:00,1
1740654,3453853,2015-01-09 15:00:00,2
576067,85919,2015-01-09 16:00:00,1
3774395,7780660,2015-01-09 17:00:00,1
1577141,6276278,2015-01-09 18:00:00,1
9598241,167587,2015-01-09 19:00:00,2
4030707,7405344,2015-01-09 20:00:00,2
9032681,6074866,2015-01-09 21:00:00,1
9415028,8860094,2015-01-09 22:00:00,1
5373802,7895785,2015-01-09 23:00:00,1
3706406,4283751,2015-01-10 00:00:00,1
2924657,2753930,2015-01-10 01:00:00,2
3229118,8063416,2015-01-10 02:00:00,2
2162509,2080749,2015-01-10 03:00:00,2
8402879,5382773,2015-01-10 04:00:00,2
4149232,8601021,2015-01-10 05:00:00,1
801358,5863203,2015-01-10 06:00:00,1
3639337,780260,2015-01-10 07:00:00,1
9674671,4547977,2015-01-10 08:00:00,2
9171977,7599185,2015-01-10 09:00:00,1
6026349,6168139,2015-01-10 10:00:00,2
3487687,309648,2015-01-10 11:00:00,1
2288152,6218802,2015-01-10 12:00:00,1
7965968,9992612,2015-01-10 13:00:00,2
9407300,6772710,2015-01-10 14:00:00,2
4787360,7555612,2015-01-10 15:00:00,1
7948326,9245584,2015-01-10 16:00:00,2
6284559,3760921,2015-01-10 17:00:00,1
9348322,3209346,2015-01-10 18:00:00,1
4436252,1549833,2015-01-10 19:00:00,2
9653202,6072252,2015-01-10 20:00:00,2
8775900,6978741,2015-01-10 21:00:00,1
4993020,9270773,2015-01-10 22:00:00,2
5300852,3032502,2015-01-10 23:00:00,1
6379870,1220218,2015-01-11 00:00:00,2
9286896,3473303,2015-01-11 01:00:00,2
6798796,3561600,2015-01-11 02:00:00,2
2291031,9587942,2015-01-11 03:00:00,1
5485440,6261270,2015-01-11 04:00:00,1
9797218,3399941,2015-01-11 05:00:00,2
8433268,2351448,2015-01-11 06:00:00,2
7755182,1821730,2015-01-11 07:00:00,2
3108815,3299151,2015-01-11 08:00:00,2
703078,4884359,2015-01-11 09:00:00,1
1611326,4971936,2015-01-11 10:00:00,2
9388208,4042833,2015-01-11 11:00:00,2
1853377,37607,2015-01-11 12:00:00,1
9156989,3172473,2015-01-11 13:00:00,1
1293452,5179891,2015-01-11 14:00:00,1
6767018,1999684,2015-01-11 15:00:00,2
1420764,4556006,2015-01-11 16:00:00,2
1494838,6336440,2015-01-11 17:00:00,2
4690513,6637691,2015-01-11 18:00:00,2
473284,695963,2015-01-11 19:00:00,1
715009,140902,2015-01-11 20:00:00,2
8435282,1438709,2015-01-11 21:00:00,2
6722282,4296416,2015-01-11 22:00:00,2
2643053,2869663,2015-01-11 23:00:00,2
7562742,797048,2015-01-12 00:00:00,1
6287277,3938945,2015-01-12 01:00:00,2
3468267,200525,2015-01-12 02:00:00,2
1004571,7320049,2015-01-12 03:00:00,1
728668,8959764,2015-01-12 04:00:00,1
8961690,1111571,2015-01-12 05:00:00,1
5726571,7573776,2015-01-12 06:00:00,2
7456719,4462654,2015-01-12 07:00:00,1
9779822,7968718,2015-01-12 08:00:00,1
7617808,3603507,2015-01-12 09:00:00,2
9240387,3594332,2015-01-12 10:00:00,1
4741934,1062373,2015-01-12 11:00:00,2
7981552,1479800,2015-01-12 12:00:00,1
9450602,9882791,2015-01-12 13:00:00,2
2161993,3418460,2015-01-12 14:00:00,1
9232133,5102175,2015-01-12 15:00:00,2
8422608,8073401,2015-01-12 16:00:00,2
481056,6022530,2015-01-12 17:00:00,2
8378959,6502878,2015-01-12 18:00:00,1
4598024,861346,2015-01-12 19:00:00,2
1080635,2965156,2015-01-12 20:00:00,1
7656688,5670193,2015-01-12 21:00:00,2
8323373,6899166,2015-01-12 22:00:00,1
5296851,2274932,2015-01-12 23:00:00,1
5934349,7829523,2015-01-13 00:00:00,1
2385979,692972,2015-01-13 01:00:00,2
7137542,9634943,2015-01-13 02:00:00,2
7599251,8632771,2015-01-13 03:00:00,1
2958580,9600628,2015-01-13 04:00:00,1
8620348,9581983,2015-01-13 05:00:00,2
4005075,4759742,2015-01-13 06:00:00,2
6358691,2868116,2015-01-13 07:00:00,2
912724,7790009,2015-01-13 08:00:00,1
642483,9126587,2015-01-13 09:00:00,2
9270848,2622564,2015-01-13 10:00:00,2
1232934,3753897,2015-01-13 11:00:00,2
3354215,1946967,2015-01-13 12:00:00,2
2328842,5344909,2015-01-13 13:00:00,1
5995782,4108169,2015-01-13 14:00:00,2
7883689,33702,2015-01-13 15:00:00,1
7419067,3305644,2015-01-13 16:00:00,1
6987983,8313109,2015-01-13 17:00:00,1
9033988,1142626,2015-01-13 18:00:00,1
8649241,2014636,2015-01-13 19:00:00,2
6183545,7088905,2015-01-13 20:00:00,2
9104241,5386957,2015-01-13 21:00:00,1
8961189,5014386,2015-01-13 22:00:00,2
8943580,9177795,2015-01-13 23:00:00,2
7721697,6038836,2015-01-14 00:00:00,2
8910315,4244372,2015-01-14 01:00:00,2
243066,8228738,2015-01-14 02:00:00,2
7361387,5164042,2015-01-14 03:00:00,2
9451228,9356649,2015-01-14 04:00:00,2
6109469,1572487,2015-01-14 05:00:00,2
5791179,1703552,2015-01-14 06:00:00,2
6068569,8130548,2015-01-14 07:00:00,1
5270335,6159624,2015-01-14 08:00:00,2
3416824,8963434,2015-01-14 09:00:00,2
1617784,3758230,2015-01-14 10:00:00,1
760958,6723589,2015-01-14 11:00:00,2
3107662,972712,2015-01-14 12:00:00,2
3988363,225053,2015-01-14 13:00:00,1
3342921,5831338,2015-01-14 14:00:00,1
8679680,11851,2015-01-14 15:00:00,2
7247188,1638756,2015-01-14 16:00:00,2
3525293,9032871,2015-01-14 17:00:00,1
16466,2324561,2015-01-14 18:00:00,2
6546806,9973764,2015-01-14 19:00:00,2
3061362,2309629,2015-01-14 20:00:00,2
8181635,4288231,2015-01-14 21:00:00,2
2628522,6047234,2015-01-14 22:00:00,1
7437211,8050534,2015-01-14 23:00:00,1
1329363,1499733,2015-01-15 00:00:00,1
6772813,9800886,2015-01-15 01:00:00,1
7510163,1688029,2015-01-15 02:00:00,2
8398310,2656814,2015-01-15 03:00:00,2
5007277,956003,2015-01-15 04:00:00,1
6393079,4711836,2015-01-15 05:00:00,2
5335442,8405789,2015-01-15 06:00:00,2
7357853,3748354,2015-01-15 07:00:00,2
7940658,5081055,2015-01-15 08:00:00,1
6247950,4875068,2015-01-15 09:00:00,2
1388990,447853,2015-01-15 10:00:00,2
7729681,2091688,2015-01-15 11:00:00,1
4257594,5437853,2015-01-15 12:00:00,2
1921340,2362467,2015-01-15 13:00:00,1
8730712,9110029,2015-01-15 14:00:00,2
7502390,3225964,2015-01-15 15:00:00,1
1867534,3045455,2015-01-15 16:00:00,2
6934199,8660091,2015-01-15 17:00:00,2
3024339,1061682,2015-01-15 18:00:00,1
1673823,2999268,2015-01-15 19:00:00,2
8594013,4026643,2015-01-15 20:00:00,2
