pretest_score,posttest_score,datetime,category
5741582,1522283,2015-01-01,9
690285,780780,2015-01-02,8
9597199,9633293,2015-01-03,8
9657209,3425979,2015-01-04,5
8576769,4420419,2015-01-05,7
8380774,5022289,2015-01-06,8
825878,3965527,2015-01-07,7
1091502,4075693,2015-01-08,6
6675498,1654375,2015-01-09,7
5997916,5532710,2015-01-10,6
4729083,3722806,2015-01-11,7
3706492,2879753,2015-01-12,7
2710455,1141005,2015-01-13,5
8182988,6480732,2015-01-14,5
995963,8140553,2015-01-15,8
4286653,4849070,2015-01-16,9
6477787,6378250,2015-01-17,6
908514,7985167,2015-01-18,7
6555138,9694976,2015-01-19,8
2349164,4567761,2015-01-20,8
9369096,6134761,2015-01-21,9
6623623,1656598,2015-01-22,7
1055786,1997146,2015-01-23,8
2675750,7603262,2015-01-24,7
815448,2214592,2015-01-25,7
2961797,9162704,2015-01-26,6
523272,7252765,2015-01-27,8
6739093,5849474,2015-01-28,5
2767246,4314554,2015-01-29,5
9630291,3082132,2015-01-30,5
8438318,6215502,2015-01-31,6
5220169,3548645,2015-02-01,8
9692191,6077530,2015-02-02,6
3954235,9764089,2015-02-03,9
6801737,4971116,2015-02-04,6
8879807,6112080,2015-02-05,8
7511335,2438204,2015-02-06,8
1342862,6629901,2015-02-07,9
7269570,2831967,2015-02-08,5
7214078,4235084,2015-02-09,5
2778499,2708801,2015-02-10,5
2255374,3418673,2015-02-11,5
6680154,5916051,2015-02-12,8
7907295,9143700,2015-02-13,6
2853969,856262,2015-02-14,9
2945539,5113180,2015-02-15,7
7425194,2382387,2015-02-16,9
9117434,6544691,2015-02-17,6
6233064,5838243,2015-02-18,6
4773388,1728420,2015-02-19,5
