pretest_score,posttest_score,datetime,category
2212810,4935463,2015-12-31,2
715440,1804967,2016-12-31,1
6040633,4601077,2017-12-31,2
6850458,9589224,2018-12-31,1
1925021,7805870,2019-12-31,2
3226445,5598465,2020-12-31,1
1571424,2369986,2021-12-31,1
3323425,8845889,2022-12-31,2
8945240,5589901,2023-12-31,1
2222783,5919776,2024-12-31,1
3665668,9122289,2025-12-31,2
5361224,1722916,2026-12-31,2
7163199,8170148,2027-12-31,2
6463264,5693455,2028-12-31,1
6231729,2529846,2029-12-31,2
175804,1901835,2030-12-31,1
3884951,2118905,2031-12-31,2
4979016,1743282,2032-12-31,1
2975091,2510961,2033-12-31,2
4186936,9166239,2034-12-31,2
6605393,1957166,2035-12-31,1
8695358,3746980,2036-12-31,1
6419517,3959324,2037-12-31,2
4280580,5681323,2038-12-31,1
2395065,5657744,2039-12-31,2
1961804,4941239,2040-12-31,1
3077260,1353543,2041-12-31,2
9830410,3928460,2042-12-31,1
6041153,3903478,2043-12-31,1
8180291,36349,2044-12-31,1
8963041,3026672,2045-12-31,1
771404,4297655,2046-12-31,1
167305,5417463,2047-12-31,1
7871652,6634318,2048-12-31,1
3467780,3018046,2049-12-31,2
8621743,8849518,2050-12-31,1
5467312,8927721,2051-12-31,2
8904708,545159,2052-12-31,2
2442198,8008845,2053-12-31,1
3865440,8345193,2054-12-31,1
8870140,3745945,2055-12-31,1
3685856,1936505,2056-12-31,1
7318485,3155380,2057-12-31,1
9207783,6840087,2058-12-31,1
4796044,362867,2059-12-31,1
6170411,8705195,2060-12-31,1
4417168,3978482,2061-12-31,1
2005250,4410592,2062-12-31,1
7386342,3664106,2063-12-31,2
5068411,2934478,2064-12-31,2
