pretest_score,posttest_score,datetime,category
4051252,2564798,2015-01-01,1
-9808834,418485,2015-01-02,3
-3913341,8142457,2015-01-03,-2
-5717663,-8334650,2015-01-04,3
-3281720,6689153,2015-01-05,4
6565710,-8116768,2015-01-06,0
5770233,6610129,2015-01-07,3
-559089,-8459192,2015-01-08,-3
-2211971,2800712,2015-01-09,-4
-4445101,9814622,2015-01-10,-4
8144425,-6099896,2015-01-11,0
-9086201,7238498,2015-01-12,-3
5733579,-8910453,2015-01-13,-2
8593911,3892183,2015-01-14,-4
6845533,5732665,2015-01-15,1
-3018341,4730452,2015-01-16,2
1905917,-5616517,2015-01-17,-3
-3001639,-1624185,2015-01-18,-1
3923527,-3530397,2015-01-19,2
9083805,1806531,2015-01-20,4
7744719,-278694,2015-01-21,1
-6119961,-700547,2015-01-22,-3
2106031,1705678,2015-01-23,0
-8773080,7965031,2015-01-24,1
6621761,-5321001,2015-01-25,-5
9402363,-5946087,2015-01-26,-2
1142519,-5480832,2015-01-27,2
6153478,-6756841,2015-01-28,3
480597,7564499,2015-01-29,1
-9445255,6697957,2015-01-30,-3
4272482,712845,2015-01-31,-1
5851661,-9428795,2015-02-01,0
5771210,606361,2015-02-02,-1
-8096642,-5760021,2015-02-03,4
9951650,-2544411,2015-02-04,-2
4440303,7438074,2015-02-05,-5
5829256,-2357422,2015-02-06,4
3875098,-3310877,2015-02-07,3
-4462732,7640901,2015-02-08,0
-3377616,-3013687,2015-02-09,3
4171589,-6550667,2015-02-10,-5
9852200,2828379,2015-02-11,4
5889817,-3426193,2015-02-12,3
-1550832,3609191,2015-02-13,3
-8245138,-9484268,2015-02-14,2
1044021,8501189,2015-02-15,-5
-6145910,9271023,2015-02-16,-5
3325114,8770799,2015-02-17,0
-7499538,8961275,2015-02-18,4
8370287,-299729,2015-02-19,4
1045457,4786845,2015-02-20,4
8418832,-324487,2015-02-21,3
-623179,-4451603,2015-02-22,0
-5273822,-5833940,2015-02-23,-4
-4465346,-6788965,2015-02-24,-2
-7302756,-8510660,2015-02-25,-1
3170658,-1819862,2015-02-26,4
4841543,-2069514,2015-02-27,4
1082185,-192459,2015-02-28,-4
7515901,3978943,2015-03-01,3
8087749,-6178371,2015-03-02,3
4451610,-2917880,2015-03-03,0
4014686,9393943,2015-03-04,-1
-7517396,4411352,2015-03-05,-3
-365170,6547130,2015-03-06,3
-6579949,-1610334,2015-03-07,-1
-7732460,-8561933,2015-03-08,2
-1973365,7831253,2015-03-09,3
8348793,6626551,2015-03-10,-3
-2350677,-6586491,2015-03-11,-2
-3445840,-943778,2015-03-12,3
-9522028,-404282,2015-03-13,1
3604938,8668117,2015-03-14,4
-9865761,-2067379,2015-03-15,-5
3367012,1581475,2015-03-16,3
-9929349,-4601791,2015-03-17,4
-9402431,-4188632,2015-03-18,1
6006791,-347823,2015-03-19,3
5337917,9631089,2015-03-20,-4
1095241,-1925158,2015-03-21,2
6936572,1536672,2015-03-22,1
-7588410,8662133,2015-03-23,3
6282019,-5322611,2015-03-24,2
9398175,-6559942,2015-03-25,1
-77395,-4288823,2015-03-26,-4
-2506642,8118756,2015-03-27,-2
-3051134,28325,2015-03-28,-3
4931847,-6456837,2015-03-29,0
7096458,9540636,2015-03-30,-4
