pretest_score,posttest_score,datetime,category
5617836,1230829,2015-01-01 00:00:00,2
9456517,2969655,2015-01-01 00:00:01,2
2377613,681770,2015-01-01 00:00:02,2
3513786,2513182,2015-01-01 00:00:03,2
6986831,4534306,2015-01-01 00:00:04,1
1604165,8144456,2015-01-01 00:00:05,1
8099375,3778042,2015-01-01 00:00:06,2
9275380,6696300,2015-01-01 00:00:07,2
1224306,1684303,2015-01-01 00:00:08,2
700734,3411114,2015-01-01 00:00:09,2
2652822,2308121,2015-01-01 00:00:10,2
9521948,3675107,2015-01-01 00:00:11,2
6583916,457191,2015-01-01 00:00:12,2
9828424,9549887,2015-01-01 00:00:13,1
4630341,7243810,2015-01-01 00:00:14,1
8175663,1140940,2015-01-01 00:00:15,2
9574448,7394835,2015-01-01 00:00:16,1
7948255,5296622,2015-01-01 00:00:17,2
3598571,1016451,2015-01-01 00:00:18,2
916986,8857176,2015-01-01 00:00:19,1
3264835,3461853,2015-01-01 00:00:20,1
2823695,5515902,2015-01-01 00:00:21,1
8370143,8783676,2015-01-01 00:00:22,2
3604327,2247430,2015-01-01 00:00:23,2
7872381,8183908,2015-01-01 00:00:24,2
4300954,6195234,2015-01-01 00:00:25,1
2381158,3126847,2015-01-01 00:00:26,1
6799113,4934838,2015-01-01 00:00:27,2
2145222,5449330,2015-01-01 00:00:28,2
6673163,8112730,2015-01-01 00:00:29,2
547863,973146,2015-01-01 00:00:30,1
2849985,2713899,2015-01-01 00:00:31,1
8692049,43648,2015-01-01 00:00:32,1
7263352,9577201,2015-01-01 00:00:33,2
753305,3177419,2015-01-01 00:00:34,2
8283079,4744370,2015-01-01 00:00:35,1
136003,7936523,2015-01-01 00:00:36,1
9077334,962112,2015-01-01 00:00:37,2
9859033,8992643,2015-01-01 00:00:38,2
8771340,4531735,2015-01-01 00:00:39,1
7683107,4797266,2015-01-01 00:00:40,1
9235214,7210525,2015-01-01 00:00:41,1
8417849,2043288,2015-01-01 00:00:42,1
5036606,352961,2015-01-01 00:00:43,2
6008697,737207,2015-01-01 00:00:44,1
7975991,1458599,2015-01-01 00:00:45,1
9572166,1875471,2015-01-01 00:00:46,2
1451004,4081886,2015-01-01 00:00:47,2
620606,7582622,2015-01-01 00:00:48,1
2564540,1778722,2015-01-01 00:00:49,2
4634821,4003106,2015-01-01 00:00:50,1
6398779,2025864,2015-01-01 00:00:51,2
3752701,6086167,2015-01-01 00:00:52,2
3136241,1750421,2015-01-01 00:00:53,1
1675002,772336,2015-01-01 00:00:54,2
3773607,7927787,2015-01-01 00:00:55,2
2575379,1550938,2015-01-01 00:00:56,2
2888748,5673252,2015-01-01 00:00:57,2
2098915,1733018,2015-01-01 00:00:58,2
4998623,7496702,2015-01-01 00:00:59,1
5341229,7695138,2015-01-01 00:01:00,2
1597007,5317432,2015-01-01 00:01:01,2
1259802,879062,2015-01-01 00:01:02,2
7964503,5718767,2015-01-01 00:01:03,2
5907790,5190468,2015-01-01 00:01:04,1
5346808,4680824,2015-01-01 00:01:05,2
2750427,1344009,2015-01-01 00:01:06,1
2278824,3792276,2015-01-01 00:01:07,1
7488874,8684250,2015-01-01 00:01:08,2
7762627,8498999,2015-01-01 00:01:09,1
890130,1830230,2015-01-01 00:01:10,1
2899908,6499609,2015-01-01 00:01:11,1
2383624,718988,2015-01-01 00:01:12,1
2171894,2328119,2015-01-01 00:01:13,2
9740407,1145951,2015-01-01 00:01:14,1
3058654,3215351,2015-01-01 00:01:15,2
467093,7860409,2015-01-01 00:01:16,1
3271661,1011420,2015-01-01 00:01:17,1
1892440,5747995,2015-01-01 00:01:18,1
2899914,3429003,2015-01-01 00:01:19,2
1576227,6400640,2015-01-01 00:01:20,2
7117536,881141,2015-01-01 00:01:21,2
8115235,7471347,2015-01-01 00:01:22,2
725023,8685901,2015-01-01 00:01:23,2
5664173,3968227,2015-01-01 00:01:24,2
5176813,4058894,2015-01-01 00:01:25,1
5374349,78026,2015-01-01 00:01:26,2
9359365,7470570,2015-01-01 00:01:27,1
96071,2415037,2015-01-01 00:01:28,2
8943785,739172,2015-01-01 00:01:29,1
4877054,3878279,2015-01-01 00:01:30,2
7924904,5196236,2015-01-01 00:01:31,2
4311479,5875546,2015-01-01 00:01:32,1
8861725,4044597,2015-01-01 00:01:33,1
1950582,2743832,2015-01-01 00:01:34,2
3104873,5583529,2015-01-01 00:01:35,1
4838242,6185262,2015-01-01 00:01:36,1
3494489,5125443,2015-01-01 00:01:37,1
5347784,3633575,2015-01-01 00:01:38,1
3655376,9701460,2015-01-01 00:01:39,1
5337064,5867577,2015-01-01 00:01:40,1
4182238,1054821,2015-01-01 00:01:41,2
7413897,4927242,2015-01-01 00:01:42,2
2348186,313058,2015-01-01 00:01:43,1
2908549,5868360,2015-01-01 00:01:44,1
5667225,738935,2015-01-01 00:01:45,1
2997083,183330,2015-01-01 00:01:46,2
525200,6857669,2015-01-01 00:01:47,1
4013114,6425450,2015-01-01 00:01:48,1
7814609,1315856,2015-01-01 00:01:49,2
1457685,2076957,2015-01-01 00:01:50,1
3687340,1165732,2015-01-01 00:01:51,1
5007468,3164662,2015-01-01 00:01:52,1
6623111,9889747,2015-01-01 00:01:53,2
1493306,3807230,2015-01-01 00:01:54,2
3398670,2889051,2015-01-01 00:01:55,2
4516688,415512,2015-01-01 00:01:56,1
6855027,3738801,2015-01-01 00:01:57,2
7072808,4983917,2015-01-01 00:01:58,1
8229879,1675469,2015-01-01 00:01:59,1
4027057,6913321,2015-01-01 00:02:00,1
2061743,4534046,2015-01-01 00:02:01,2
2645475,3883054,2015-01-01 00:02:02,1
9729673,5672110,2015-01-01 00:02:03,2
7670784,9490284,2015-01-01 00:02:04,2
9680946,1390177,2015-01-01 00:02:05,1
8156520,887293,2015-01-01 00:02:06,2
8747010,7335929,2015-01-01 00:02:07,1
4043770,3311434,2015-01-01 00:02:08,1
7976829,6743070,2015-01-01 00:02:09,2
6566585,1257612,2015-01-01 00:02:10,1
8481105,7834516,2015-01-01 00:02:11,1
5895575,7445645,2015-01-01 00:02:12,1
4343919,7200502,2015-01-01 00:02:13,2
2438714,4178146,2015-01-01 00:02:14,1
662024,3100797,2015-01-01 00:02:15,2
7204002,3133313,2015-01-01 00:02:16,1
6611725,1288049,2015-01-01 00:02:17,2
8888259,6398116,2015-01-01 00:02:18,2
1158641,8980289,2015-01-01 00:02:19,1
5251922,1184996,2015-01-01 00:02:20,1
7914556,7380508,2015-01-01 00:02:21,2
1009372,2204761,2015-01-01 00:02:22,2
2171219,9044242,2015-01-01 00:02:23,1
7152774,6490822,2015-01-01 00:02:24,2
495052,9460001,2015-01-01 00:02:25,1
4753425,8695760,2015-01-01 00:02:26,1
2142852,3652200,2015-01-01 00:02:27,2
6083841,4492985,2015-01-01 00:02:28,2
1094807,3987225,2015-01-01 00:02:29,1
771576,1559723,2015-01-01 00:02:30,1
1475125,4887343,2015-01-01 00:02:31,1
3109322,7750797,2015-01-01 00:02:32,2
8876363,4543486,2015-01-01 00:02:33,2
6841696,4423836,2015-01-01 00:02:34,1
3597328,1645421,2015-01-01 00:02:35,2
920098,979072,2015-01-01 00:02:36,1
299623,6361738,2015-01-01 00:02:37,1
8399534,6953973,2015-01-01 00:02:38,1
2428991,356321,2015-01-01 00:02:39,1
3460847,6510276,2015-01-01 00:02:40,2
4768483,2238387,2015-01-01 00:02:41,1
3146159,4299994,2015-01-01 00:02:42,1
9435122,2109000,2015-01-01 00:02:43,1
9489180,388139,2015-01-01 00:02:44,1
2722258,2654067,2015-01-01 00:02:45,1
3972833,6923571,2015-01-01 00:02:46,1
5981858,5576451,2015-01-01 00:02:47,1
8595086,804813,2015-01-01 00:02:48,2
1396770,6284406,2015-01-01 00:02:49,2
4502407,9083864,2015-01-01 00:02:50,2
3558903,1337992,2015-01-01 00:02:51,2
8950976,1032609,2015-01-01 00:02:52,2
5700915,4114995,2015-01-01 00:02:53,1
2470005,2430922,2015-01-01 00:02:54,1
485224,6350899,2015-01-01 00:02:55,1
5550097,4720557,2015-01-01 00:02:56,2
7435015,9702552,2015-01-01 00:02:57,1
2820561,6112603,2015-01-01 00:02:58,1
8272266,561064,2015-01-01 00:02:59,1
8050831,8410829,2015-01-01 00:03:00,2
2434328,5987138,2015-01-01 00:03:01,2
8191030,5917934,2015-01-01 00:03:02,2
2173132,7378121,2015-01-01 00:03:03,2
7039315,3173257,2015-01-01 00:03:04,2
5445491,650175,2015-01-01 00:03:05,1
6767190,2725562,2015-01-01 00:03:06,1
6318775,2612908,2015-01-01 00:03:07,2
1515920,9213436,2015-01-01 00:03:08,1
8638741,8927856,2015-01-01 00:03:09,2
72848,8326981,2015-01-01 00:03:10,1
6053436,393875,2015-01-01 00:03:11,2
5260616,2077204,2015-01-01 00:03:12,2
2883778,2690561,2015-01-01 00:03:13,2
8377988,398142,2015-01-01 00:03:14,1
897061,5808088,2015-01-01 00:03:15,2
5305959,463902,2015-01-01 00:03:16,1
4245902,9713857,2015-01-01 00:03:17,2
3818588,6841244,2015-01-01 00:03:18,2
6698131,8111355,2015-01-01 00:03:19,1
2655815,6649924,2015-01-01 00:03:20,1
1561560,6099895,2015-01-01 00:03:21,2
6351326,5857645,2015-01-01 00:03:22,1
5156083,8794224,2015-01-01 00:03:23,2
2694995,8419253,2015-01-01 00:03:24,2
3739898,7107469,2015-01-01 00:03:25,2
4720583,9511234,2015-01-01 00:03:26,2
8392969,2141673,2015-01-01 00:03:27,2
57069,956283,2015-01-01 00:03:28,2
3331300,9073290,2015-01-01 00:03:29,1
7126815,3710449,2015-01-01 00:03:30,1
1705407,9747560,2015-01-01 00:03:31,2
5274734,1080667,2015-01-01 00:03:32,1
615413,2789553,2015-01-01 00:03:33,2
9386344,9839715,2015-01-01 00:03:34,1
6000625,5239439,2015-01-01 00:03:35,2
1651081,3142257,2015-01-01 00:03:36,1
7810675,6813577,2015-01-01 00:03:37,1
7131717,3195144,2015-01-01 00:03:38,2
2584411,6454463,2015-01-01 00:03:39,2
540512,4845980,2015-01-01 00:03:40,1
4884434,2862131,2015-01-01 00:03:41,2
5131691,6039918,2015-01-01 00:03:42,1
2527751,7907252,2015-01-01 00:03:43,2
5490633,5512711,2015-01-01 00:03:44,1
8528230,5407666,2015-01-01 00:03:45,1
1662756,3978113,2015-01-01 00:03:46,1
4987932,539015,2015-01-01 00:03:47,1
1618773,6197885,2015-01-01 00:03:48,1
9824765,2491712,2015-01-01 00:03:49,2
2920299,2177144,2015-01-01 00:03:50,2
7982996,6496841,2015-01-01 00:03:51,1
3751759,7020415,2015-01-01 00:03:52,1
5437370,1802120,2015-01-01 00:03:53,2
5742275,1926814,2015-01-01 00:03:54,2
2793075,6969615,2015-01-01 00:03:55,2
6366402,5764087,2015-01-01 00:03:56,1
4238214,3292573,2015-01-01 00:03:57,2
2490495,8345646,2015-01-01 00:03:58,1
8770359,8416470,2015-01-01 00:03:59,1
